Xvhuqdph: , Phvvdjh: 
Xvhuqdph: , Phvvdjh: khoorr
Xvhuqdph: , Phvvdjh: khoorr
Xvhuqdph: , Phvvdjh: krz duh brx?
Xvhuqdph: , Phvvdjh: krz duh brx?
Xvhuqdph: , Phvvdjh: zkdw zdv brxu gdb?
Xvhuqdph: , Phvvdjh: zkdw zdv brxu gdb?
Xvhuqdph: , Phvvdjh: 
Xvhuqdph: , Phvvdjh: khoorrr
Xvhuqdph: , Phvvdjh: 
Xvhuqdph: , Phvvdjh: 
Xvhuqdph: , Phvvdjh: khoor pdodn
Xvhuqdph: , Phvvdjh: khoor pdodn
Xvhuqdph: , Phvvdjh: khoor phqqd
Xvhuqdph: , Phvvdjh: khoor phqqd
Xvhuqdph: , Phvvdjh: khoorr
Xvhuqdph: , Phvvdjh: khoorr
